Tree_ID,Local_X,Local_Y,Latitude,Longitude
1,10.155,-6.47864,23.59163578,113.39292803
2,12.68086576,-5.88177977,23.59163441,113.39290266
3,5.87393402,-5.73285119,23.59162247,113.39296807
4,15.28539893,-9.01349401,23.59166632,113.39288284
5,26.69371495,-6.90114112,23.59166535,113.39276921
6,19.80982131,-1.93222424,23.59161043,113.39282720
7,42.47881660,-6.88364197,23.59168983,113.39261691
8,20.64742816,-5.51504054,23.59164359,113.39282519
9,5.44367974,-9.17155580,23.59165237,113.39297804
10,26.58074686,-9.75225914,23.59169052,113.39277513
11,58.70045038,-0.06592544,23.59165454,113.39244889
12,16.76696033,-5.70344792,23.59163921,113.39286294
13,30.39677993,-6.46297662,23.59166723,113.39273275
14,7.73370997,-6.19405470,23.59162947,113.39295091
15,5.74269418,1.67331683,23.59155642,113.39295679
16,17.78627640,-8.75274946,23.59166791,113.39285827
17,62.01578991,-8.46760074,23.59173441,113.39243114
18,8.48685765,-1.42718416,23.59158827,113.39293557
19,12.93260126,-9.17924356,23.59166412,113.39290581
20,3.33949320,1.55983818,23.59155368,113.39298016
21,13.24846711,1.94982366,23.59156568,113.39288392
22,62.22665415,-4.28238347,23.59169753,113.39242201
23,50.85769056,-3.76689034,23.59167520,113.39253081
24,39.58565333,-7.01208322,23.59168646,113.39264504
25,45.71615298,-10.42968783,23.59172641,113.39259169
26,38.96050853,-10.21033312,23.59171392,113.39265649
27,67.80735884,-1.16256924,23.59167851,113.39236290
28,15.12554393,1.76090395,23.59157029,113.39286613
29,-0.17559080,-5.41769560,23.59161022,113.39302589
30,23.52076055,-2.08889156,23.59161762,113.39279167
31,9.39859161,1.91280107,23.59156000,113.39292112
32,1.91700493,-8.81325063,23.59164367,113.39301145
33,1.02374731,2.22767328,23.59154413,113.39300137
34,66.91185161,-4.57411861,23.59170744,113.39237731
35,26.47106915,1.70433790,23.59158850,113.39275679
36,18.44593552,1.62630890,23.59157667,113.39283433
37,48.16672924,-3.87968862,23.59167200,113.39255696
38,46.76635534,-7.13664944,23.59169877,113.39257598
39,14.72581655,-1.79902064,23.59160131,113.39287602
40,61.31317017,-0.32188735,23.59166089,113.39242412
41,37.39242218,-6.09579032,23.59167489,113.39266465
42,34.93066198,1.36533537,23.59160472,113.39267576
43,42.95952264,-3.29635012,23.59165869,113.39260620
44,55.34772849,-7.80658859,23.59171812,113.39249434
45,34.95705071,-10.58927392,23.59171104,113.39269575
46,55.47705344,-11.28747730,23.59174927,113.39249899
47,64.43932821,-4.60950315,23.59170389,113.39240122
48,28.66113915,1.65609342,23.59159235,113.39273574
49,23.47293284,-6.28563160,23.59165485,113.39279924
50,2.83151984,-5.03968731,23.59161155,113.39299624
51,40.73981183,-2.58856298,23.59164893,113.39262642
52,38.89667736,-2.68069417,23.59164688,113.39264435
53,41.52044918,-10.19179310,23.59171775,113.39263176
54,69.32174781,-4.56395983,23.59171111,113.39235405
55,24.29584506,1.58009151,23.59158621,113.39277798
56,33.48077259,-6.88024677,23.59167576,113.39270371
57,6.22371094,-1.75045930,23.59158761,113.39295795
58,30.22330120,-2.28174343,23.59162979,113.39272734
59,27.90071172,-2.27022019,23.59162606,113.39274973
60,56.18220134,-3.58230906,23.59168187,113.39247914
61,59.66082878,-11.74903372,23.59175990,113.39245941
62,43.61335304,0.34287800,23.59162736,113.39259373
63,72.06131522,-1.72072034,23.59169011,113.39232281
64,45.75762455,0.29392813,23.59163114,113.39257313
65,58.11970624,-7.85404329,23.59172287,113.39246768
66,22.42624419,2.10009175,23.59157867,113.39279513
67,53.97107391,-3.51753657,23.59167784,113.39250036
68,54.59623290,0.01879821,23.59164738,113.39248834
69,56.41387286,-0.06519857,23.59165097,113.39247094
70,11.39092561,1.86165999,23.59156356,113.39290199
71,25.62224945,-2.44696633,23.59162408,113.39277200
72,20.53489043,2.15173461,23.59157526,113.39281329
73,2.31508342,-1.22669834,23.59157685,113.39299477
74,66.24038385,-8.32437629,23.59173973,113.39239014
75,24.36476668,-9.69758743,23.59168658,113.39279641
76,32.78268901,1.13512235,23.59160341,113.39269687
77,36.68943176,-3.04551434,23.59164667,113.39266626
78,44.47287933,-6.81232958,23.59169231,113.39259756
79,58.54886106,-3.81475174,23.59168763,113.39245670
80,47.99940232,0.60728792,23.59163185,113.39255097
81,30.74161652,1.70651832,23.59159514,113.39271559
82,32.53899878,-2.76358124,23.59163769,113.39270582
83,30.05303288,-9.75966804,23.59169601,113.39274165
84,10.64891598,-9.60406202,23.59166433,113.39292856
85,44.85569845,-3.06559560,23.59165960,113.39258752
86,50.88598715,-7.52005262,23.59170861,113.39253689
87,47.88275217,-11.14091503,23.59173611,113.39257200
88,-2.85581324,0.89231539,23.59154994,113.39304106
